,t,p,v,q,pwm,fa,hover_throttle,T_sp
51,1758984371.4914813,"[0.00015999015073680665, 2.389800532911218e-16, 0.911632421118377]","[3.3787806126164753e-15, 4.133441816498041e-16, -2.0684433816341068e-15]","[1.0, 3.2118696550010957e-17, 1.7214373307752868e-16, -1.222020000457589e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.1583804506156062e-15, 5.341807630132264e-16, -52.11898076898158]",0.5,[28.014357968981578]
52,1758984371.4965987,"[0.00015999015073682362, 2.410321695232424e-16, 0.911632421118377]","[3.39538204417792e-15, 4.104232464241155e-16, -2.0684433816341068e-15]","[1.0, 3.3458426774681957e-17, 1.6722436997620027e-16, -1.2129706782679023e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-1.0621662341632769e-15, 5.610853492273384e-16, -52.11898076898158]",0.5,[28.014357968981578]
53,1758984371.5017157,"[0.00015999015073684067, 2.4306886296004783e-16, 0.911632421118377]","[3.411501809145743e-15, 4.073386873610914e-16, -2.0684433816341068e-15]","[1.0, 3.479052977583041e-17, 1.6228776464965216e-16, -1.203921356077739e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-9.829134606033368e-16, 5.768626821668133e-16, -52.11898076898158]",0.5,[28.014357968981578]
54,1758984371.5068333,"[0.0001599901507368578, 2.4508959350871834e-16, 0.911632421118377]","[3.4272558201873576e-15, 4.041461097341036e-16, -2.0684433816341068e-15]","[1.0, 3.6112573569851263e-17, 1.5735021966042005e-16, -1.1948720338871226e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-8.9640303462208e-16, 5.945910423945931e-16, -52.11898076898158]",0.5,[28.014357968981578]
55,1758984371.5119607,"[0.000159990150736875, 2.4709347553330064e-16, 0.911632421118377]","[3.442421458344629e-15, 4.0077640491645754e-16, -2.0684433816341068e-15]","[1.0, 3.742965690530931e-17, 1.5239361492671787e-16, -1.1858227116960756e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-8.460462036930455e-16, 6.030659725167693e-16, -52.11898076898158]",0.5,[28.014357968981578]
56,1758984371.517078,"[0.0001599901507368923, 2.490799799680554e-16, 0.911632421118377]","[3.4571175326017446e-15, 3.973008869509605e-16, -2.0684433816341068e-15]","[1.0, 3.873926518468798e-17, 1.474235912015963e-16, -1.1767733895046193e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-7.892083600918435e-16, 6.150619093703685e-16, -52.11898076898158]",0.5,[28.014357968981578]
57,1758984371.522339,"[0.00015999015073690965, 2.5104795834985103e-16, 0.911632421118377]","[3.471295167321529e-15, 3.9359567635911866e-16, -2.0684433816341068e-15]","[1.0, 4.00522722678567e-17, 1.4243538057306923e-16, -1.167724067312774e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-8.06182847460702e-16, 6.271653185690088e-16, -52.11898076898158]",0.5,[28.014357968981578]
58,1758984371.5273333,"[0.00015999015073692708, 2.529972397974252e-16, 0.911632421118377]","[3.484255159403683e-15, 3.8985628951483513e-16, -2.0684433816341068e-15]","[1.0, 4.1358504972855493e-17, 1.373295565107103e-16, -1.158674745120559e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-7.986046072372592e-16, 6.221190371602689e-16, -52.11898076898158]",0.5,[28.014357968981578]
59,1758984371.5324116,"[0.00015999015073694456, 2.549266017399466e-16, 0.911632421118377]","[3.497493922535498e-15, 3.8587238850429193e-16, -2.0684433816341068e-15]","[1.0, 4.2670465853490604e-17, 1.3221914188377427e-16, -1.1496254229279927e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-6.830692515106627e-16, 6.140282658418666e-16, -52.11898076898158]",0.5,[28.014357968981578]
60,1758984371.5374916,"[0.00015999015073696213, 2.5683587799315087e-16, 0.911632421118377]","[3.5103551224545342e-15, 3.8185525064084735e-16, -2.0684433816341068e-15]","[1.0, 4.397789167360975e-17, 1.271007128289099e-16, -1.1405761007350921e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-5.71984220989052e-16, 6.288358238928027e-16, -52.11898076898158]",0.5,[28.014357968981578]
61,1758984371.5426056,"[0.00015999015073697975, 2.5872428182276825e-16, 0.911632421118377]","[3.522696121273066e-15, 3.776807659234782e-16, -2.0684433816341068e-15]","[1.0, 4.528390831558264e-17, 1.2196775849033696e-16, -1.1315267785418742e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-5.006220547376093e-16, 6.420866549746215e-16, -52.11898076898158]",0.5,[28.014357968981578]
62,1758984371.5477226,"[0.00015999015073699742, 2.6059130213494626e-16, 0.911632421118377]","[3.5346369433566808e-15, 3.7340406243560126e-16, -2.0684433816341068e-15]","[1.0, 4.6585732166334906e-17, 1.1683509723345508e-16, -1.1224774563483545e-18]","[0.5602871593796316, 0.5602871593796316, 0.5602871593796316, 0.5602871593796316]","[-4.2203718798364526e-16, 6.592826513797393e-16, -52.11898076898158]",0.5,[28.014357968981578]
